x,y,energy
2.70,2.95,3.148
2.70,3.00,3.228
2.75,2.60,6.132
2.75,2.65,5.118
2.75,2.70,4.323
2.75,2.75,3.621
2.75,2.80,3.093
2.75,2.85,2.788
2.75,2.90,2.523
2.75,2.95,2.388
2.75,3.00,2.399
2.80,2.65,4.737
2.80,2.70,3.896
2.80,2.75,3.173
2.80,2.80,2.605
2.80,2.85,2.196
2.80,2.90,1.920
2.80,2.95,1.767
2.80,3.00,1.722
2.85,2.70,3.548
2.85,2.75,2.806
2.85,2.80,2.191
2.85,2.85,1.754
2.85,2.90,1.444
2.85,2.95,1.253
2.85,3.00,1.163
2.90,2.75,2.520
2.90,2.80,1.887
2.90,2.85,1.407
2.90,2.90,1.043
2.90,2.95,0.830
2.90,3.00,0.706
2.95,2.75,2.271
2.95,2.80,1.661
2.95,2.85,1.125
2.95,2.90,0.735
2.95,2.95,0.484
2.95,3.00,0.284
3.00,2.80,1.467
3.00,2.85,0.927
3.00,2.90,0.491
3.00,2.95,0.164
3.00,3.00,0.000
